期号,日期,星期,红球,蓝球
2025095,2025-08-19,星期二,"[15, 16, 22, 23, 26, 32]",[4]
2025094,2025-08-17,星期日,"[11, 13, 17, 19, 23, 29]",[16]
2025093,2025-08-14,星期四,"[9, 11, 12, 24, 25, 26]",[10]
2025092,2025-08-12,星期二,"[2, 11, 14, 17, 23, 24]",[12]
2025091,2025-08-10,星期日,"[3, 4, 17, 19, 25, 27]",[14]
2025090,2025-08-07,星期四,"[6, 11, 12, 21, 27, 28]",[15]
2025089,2025-08-05,星期二,"[4, 6, 8, 18, 31, 33]",[5]
2025088,2025-08-03,星期日,"[1, 3, 13, 18, 21, 25]",[6]
2025087,2025-07-31,星期四,"[2, 6, 14, 15, 24, 26]",[8]
2025086,2025-07-29,星期二,"[2, 6, 8, 10, 17, 24]",[6]
2025085,2025-07-27,星期日,"[11, 14, 15, 18, 21, 24]",[13]
2025084,2025-07-24,星期四,"[6, 8, 10, 14, 24, 33]",[15]
2025083,2025-07-22,星期二,"[10, 15, 16, 17, 27, 29]",[12]
2025082,2025-07-20,星期日,"[4, 6, 9, 14, 32, 33]",[11]
2025081,2025-07-17,星期四,"[3, 6, 18, 20, 23, 28]",[5]
2025080,2025-07-15,星期二,"[3, 7, 8, 10, 16, 19]",[5]
2025079,2025-07-13,星期日,"[8, 11, 14, 15, 30, 32]",[5]
2025078,2025-07-10,星期四,"[6, 15, 17, 30, 32, 33]",[14]
2025077,2025-07-08,星期二,"[4, 7, 8, 15, 20, 21]",[15]
2025076,2025-07-06,星期日,"[2, 6, 9, 12, 14, 30]",[8]
2025075,2025-07-03,星期四,"[10, 12, 14, 19, 20, 21]",[15]
2025074,2025-07-01,星期二,"[3, 4, 12, 20, 32, 33]",[13]
2025073,2025-06-29,星期日,"[2, 7, 10, 27, 30, 33]",[11]
2025072,2025-06-26,星期四,"[2, 14, 17, 25, 27, 29]",[5]
2025071,2025-06-24,星期二,"[1, 12, 18, 23, 25, 28]",[7]
2025070,2025-06-22,星期日,"[2, 3, 15, 21, 22, 33]",[6]
2025069,2025-06-19,星期四,"[2, 4, 19, 23, 27, 30]",[5]
2025068,2025-06-17,星期二,"[5, 7, 8, 19, 20, 31]",[7]
2025067,2025-06-15,星期日,"[1, 5, 10, 17, 20, 22]",[5]
2025066,2025-06-12,星期四,"[6, 22, 24, 27, 28, 30]",[4]
